Ds	data
6/2/2009	6.653
6/3/2009	6.629
6/4/2009	6.701
6/5/2009	6.489
6/6/2009	6.059
6/7/2009	5.981
6/8/2009	6.460
6/9/2009	6.629
6/10/2009	6.564
6/11/2009	6.562
6/12/2009	6.436
6/13/2009	6.054
6/14/2009	6.043
6/15/2009	6.522
6/16/2009	6.531
6/17/2009	6.515
6/18/2009	6.450
6/19/2009	6.321
6/20/2009	5.889
6/21/2009	5.981
6/22/2009	6.344
6/23/2009	6.457
6/24/2009	6.608
6/25/2009	6.474
6/26/2009	6.366
6/27/2009	5.979
6/28/2009	6.006
6/29/2009	6.463
6/30/2009	6.516
7/1/2009	6.512
7/2/2009	6.378
7/3/2009	6.225
7/4/2009	5.930
7/5/2009	5.832
7/6/2009	6.509
7/7/2009	6.589
7/8/2009	6.557
7/9/2009	6.477
7/10/2009	6.486
7/11/2009	5.958
7/12/2009	5.911
7/13/2009	6.455
7/14/2009	6.472
7/15/2009	6.578
7/16/2009	6.535
7/17/2009	6.507
7/18/2009	6.096
7/19/2009	6.043
7/20/2009	6.601
7/21/2009	6.631
7/22/2009	7.212
7/23/2009	6.945
7/24/2009	6.612
7/25/2009	6.021
7/26/2009	6.111
7/27/2009	6.617
7/28/2009	6.766
7/29/2009	6.727
7/30/2009	6.731
7/31/2009	6.489
8/1/2009	6.140
8/2/2009	6.172
8/3/2009	6.585
8/4/2009	6.661
8/5/2009	6.623
8/6/2009	6.652
8/7/2009	6.513
8/8/2009	6.261
8/9/2009	6.330
8/10/2009	6.646
8/11/2009	6.662
8/12/2009	6.605
8/13/2009	6.569
8/14/2009	6.497
8/15/2009	6.057
8/16/2009	6.148
8/17/2009	6.645
8/18/2009	6.731
8/19/2009	6.642
8/20/2009	6.593
8/21/2009	6.553
8/22/2009	6.217
8/23/2009	6.094
8/24/2009	6.596
8/25/2009	6.718
8/26/2009	6.681
8/27/2009	6.702
8/28/2009	6.646
8/29/2009	6.328
8/30/2009	6.263
8/31/2009	6.685
9/1/2009	6.691
9/2/2009	6.961
9/3/2009	6.841
9/4/2009	6.650
9/5/2009	6.234
9/6/2009	6.217
9/7/2009	6.567
9/8/2009	6.755
9/9/2009	6.800
9/10/2009	6.806
9/11/2009	6.719
9/12/2009	6.263
9/13/2009	6.306
9/14/2009	6.749
9/15/2009	6.701
9/16/2009	6.723
9/17/2009	6.712
9/18/2009	6.764
9/19/2009	6.361
9/20/2009	6.263
9/21/2009	6.532
9/22/2009	6.720
9/24/2009	6.750
9/28/2009	6.506
9/29/2009	6.712
9/30/2009	6.702
10/1/2009	6.695
10/2/2009	6.831
10/3/2009	6.250
10/4/2009	6.346
10/5/2009	6.600
10/6/2009	6.639
10/7/2009	6.695
10/8/2009	6.768
10/9/2009	6.645
10/10/2009	6.356
10/11/2009	6.378
10/12/2009	6.669
10/13/2009	6.675
10/17/2009	6.217
10/18/2009	6.201
10/19/2009	6.616
10/20/2009	6.712
10/21/2009	6.786
10/22/2009	6.739
10/23/2009	6.673
10/24/2009	6.209
10/25/2009	6.261
10/26/2009	6.635
10/27/2009	6.706
10/28/2009	6.787
10/29/2009	6.736
10/30/2009	6.605
10/31/2009	6.180
11/1/2009	6.269
11/2/2009	6.506
11/3/2009	6.788
11/4/2009	6.849
11/5/2009	6.867
11/6/2009	6.646
11/7/2009	6.277
11/8/2009	6.447
11/9/2009	6.664
11/10/2009	6.698
11/11/2009	6.750
11/12/2009	6.742
11/13/2009	6.672
11/14/2009	6.306
11/16/2009	6.739
11/17/2009	6.491
11/18/2009	6.575
11/19/2009	6.644
11/20/2009	6.639
11/21/2009	6.230
11/23/2009	6.719
11/24/2009	6.596
11/25/2009	6.469
11/26/2009	6.380
11/27/2009	6.399
11/28/2009	6.229
11/29/2009	6.256
11/30/2009	6.592
12/1/2009	6.599
12/2/2009	6.627
12/3/2009	6.627
12/4/2009	6.616
12/5/2009	6.127
12/6/2009	6.229
12/7/2009	6.534
12/8/2009	6.474
12/9/2009	6.558
12/10/2009	6.518
12/11/2009	6.513
12/12/2009	6.250
12/13/2009	6.217
12/14/2009	6.426
12/15/2009	6.377
12/16/2009	6.500
12/17/2009	6.593
12/18/2009	6.503
12/19/2009	6.050
12/20/2009	6.052
12/21/2009	6.491
12/22/2009	6.555
12/23/2009	6.497
12/24/2009	6.026
12/25/2009	5.790
12/26/2009	5.838
12/27/2009	5.922
12/28/2009	6.225
12/29/2009	6.265
12/30/2009	6.188
12/31/2009	6.201
1/1/2010	5.886
1/2/2010	5.953
1/3/2010	5.969
1/4/2010	6.182
1/5/2010	6.413
1/6/2010	6.540
1/7/2010	6.753
1/8/2010	6.579
1/9/2010	6.333
1/10/2010	6.479
1/11/2010	6.692
1/12/2010	6.788
1/13/2010	6.697
1/14/2010	6.646
1/15/2010	6.817
1/16/2010	6.304
1/17/2010	6.387
1/18/2010	6.675
1/19/2010	6.891
1/20/2010	6.860
1/21/2010	6.926
1/22/2010	6.858
1/25/2010	6.954
1/26/2010	6.866
1/27/2010	6.887
1/28/2010	6.823
1/29/2010	6.767
1/30/2010	6.447
1/31/2010	6.488
2/1/2010	6.901
2/2/2010	6.851
2/3/2010	6.924
2/4/2010	6.988
2/5/2010	6.889
2/6/2010	6.503
2/7/2010	6.504
2/9/2010	6.805
2/10/2010	6.904
2/11/2010	6.958
2/12/2010	6.878
2/13/2010	6.465
2/14/2010	6.342
2/15/2010	6.666
2/16/2010	6.854
2/17/2010	6.791
2/18/2010	6.847
2/19/2010	6.691
2/20/2010	6.561
2/21/2010	6.433
2/22/2010	6.787
2/24/2010	6.819
2/25/2010	6.789
2/26/2010	6.744
2/27/2010	6.589
2/28/2010	6.498
3/1/2010	6.727
3/2/2010	6.965
3/3/2010	6.820
3/4/2010	6.903
3/5/2010	7.034
3/6/2010	6.528
3/7/2010	6.492
3/8/2010	6.842
3/9/2010	6.878
3/10/2010	6.878
3/11/2010	6.900
3/12/2010	6.869
3/13/2010	6.621
3/14/2010	6.474
3/15/2010	6.753
3/16/2010	6.784
3/17/2010	6.924
3/18/2010	6.893
3/19/2010	6.777
3/20/2010	6.498
3/21/2010	6.486
3/22/2010	6.746
3/23/2010	6.695
3/24/2010	6.764
3/25/2010	6.833
3/26/2010	6.832
3/27/2010	6.562
3/28/2010	6.384
3/29/2010	6.755
3/30/2010	6.854
3/31/2010	6.820
4/1/2010	6.775
4/2/2010	6.650
4/3/2010	6.382
4/4/2010	6.349
4/5/2010	6.576
4/6/2010	6.732
4/7/2010	6.846
4/8/2010	6.781
4/9/2010	6.774
4/10/2010	6.378
4/11/2010	6.480
4/12/2010	6.894
4/13/2010	6.879
4/14/2010	6.793
4/15/2010	6.799
4/16/2010	6.821
4/17/2010	6.585
4/18/2010	6.562
4/19/2010	6.864
4/20/2010	6.851
4/21/2010	6.798
4/22/2010	6.852
4/23/2010	6.892
4/24/2010	6.500
4/25/2010	6.575
4/26/2010	7.287
4/27/2010	7.383
4/28/2010	6.882
4/29/2010	6.957
4/30/2010	6.943
5/1/2010	6.586
5/2/2010	6.515
5/3/2010	6.907
5/4/2010	6.922
5/5/2010	6.937
5/6/2010	7.060
5/7/2010	7.041
5/8/2010	6.599
5/9/2010	6.450
5/10/2010	6.878
5/11/2010	6.929
5/12/2010	6.886
5/13/2010	6.588
5/14/2010	6.709
5/15/2010	6.553
5/16/2010	6.380
5/17/2010	6.770
5/18/2010	6.540
5/19/2010	6.600
5/20/2010	6.736
5/21/2010	6.725
5/22/2010	6.519
5/23/2010	6.491
5/24/2010	6.659
5/25/2010	6.763
5/26/2010	6.897
5/27/2010	6.755
5/28/2010	6.522
5/29/2010	6.353
5/30/2010	6.326
5/31/2010	6.525
6/1/2010	6.763
6/2/2010	6.847
6/3/2010	6.849
6/4/2010	6.750
6/5/2010	6.548
6/6/2010	6.363
6/7/2010	6.782
6/8/2010	6.815
6/9/2010	6.755
6/10/2010	6.706
6/11/2010	6.261
6/12/2010	4.934
6/13/2010	4.511
6/14/2010	5.011
6/15/2010	6.066
6/16/2010	6.293
6/17/2010	6.650
6/18/2010	6.631
6/19/2010	6.370
6/20/2010	6.333
6/21/2010	6.693
6/22/2010	6.631
6/23/2010	6.601
6/24/2010	6.545
6/25/2010	6.446
6/27/2010	5.112
6/29/2010	6.662
6/30/2010	6.644
7/1/2010	6.620
7/2/2010	6.737
7/3/2010	6.172
7/4/2010	6.094
7/6/2010	6.611
7/11/2010	6.201
7/12/2010	6.551
7/13/2010	6.698
7/14/2010	6.637
7/15/2010	6.711
7/16/2010	6.594
7/17/2010	6.205
7/18/2010	6.064
7/19/2010	7.116
7/20/2010	6.958
7/21/2010	6.725
7/22/2010	6.951
7/23/2010	7.013
7/24/2010	6.534
7/25/2010	6.542
7/26/2010	7.048
7/27/2010	7.076
7/28/2010	7.040
7/29/2010	7.064
7/30/2010	6.948
7/31/2010	6.617
8/1/2010	6.501
8/2/2010	7.037
8/3/2010	7.480
8/4/2010	7.262
8/5/2010	7.101
8/6/2010	7.041
8/7/2010	6.751
8/8/2010	6.590
8/9/2010	7.130
8/10/2010	7.142
8/11/2010	7.179
8/12/2010	7.049
8/13/2010	6.986
8/14/2010	6.506
8/15/2010	6.592
8/16/2010	7.111
8/17/2010	7.115
8/18/2010	7.077
8/19/2010	7.102
8/20/2010	6.934
8/21/2010	6.623
8/22/2010	6.697
8/23/2010	7.059
8/24/2010	7.155
8/25/2010	7.093
8/26/2010	7.150
8/27/2010	7.023
8/28/2010	6.620
8/29/2010	6.669
8/30/2010	7.116
8/31/2010	7.250
9/1/2010	7.246
9/2/2010	7.237
9/3/2010	7.094
9/4/2010	6.766
9/5/2010	6.640
9/6/2010	7.028
9/7/2010	7.135
9/8/2010	7.313
9/9/2010	7.239
9/10/2010	7.032
9/11/2010	6.678
9/12/2010	6.749
9/13/2010	7.190
9/14/2010	7.266
9/15/2010	7.309
9/16/2010	7.293
9/17/2010	7.185
9/18/2010	6.698
9/19/2010	6.833
9/20/2010	7.222
9/21/2010	7.245
9/22/2010	7.180
9/23/2010	7.152
9/24/2010	7.165
9/25/2010	6.767
9/26/2010	6.817
9/27/2010	7.191
9/28/2010	7.324
9/29/2010	7.263
9/30/2010	7.202
10/1/2010	7.161
10/2/2010	6.879
10/3/2010	6.790
10/4/2010	7.263
10/5/2010	7.230
10/6/2010	7.282
10/7/2010	7.203
10/8/2010	7.093
10/9/2010	6.639
10/10/2010	6.681
10/11/2010	7.223
10/12/2010	7.220
10/13/2010	7.206
10/14/2010	7.238
10/15/2010	7.092
10/16/2010	6.901
10/17/2010	6.897
10/18/2010	7.108
10/19/2010	7.239
10/20/2010	7.229
10/21/2010	7.213
10/22/2010	7.158
10/23/2010	6.836
10/24/2010	6.786
10/25/2010	7.200
10/26/2010	7.375
10/27/2010	7.371
10/28/2010	7.407
10/29/2010	7.238
10/30/2010	6.743
10/31/2010	6.884
11/1/2010	7.236
11/2/2010	7.196
11/3/2010	7.146
11/4/2010	7.314
11/5/2010	7.188
11/6/2010	6.778
11/7/2010	6.922
11/8/2010	7.166
11/9/2010	7.218
11/10/2010	7.286
11/11/2010	7.221
11/12/2010	7.189
11/13/2010	6.755
11/14/2010	6.727
11/15/2010	7.048
11/16/2010	7.209
11/17/2010	7.222
11/18/2010	7.241
11/19/2010	7.098
11/20/2010	6.810
11/21/2010	6.780
11/22/2010	7.144
11/23/2010	7.155
11/24/2010	7.127
11/25/2010	6.916
11/26/2010	6.998
11/27/2010	6.659
11/28/2010	6.718
11/29/2010	7.056
11/30/2010	7.204
12/1/2010	7.256
12/2/2010	7.144
12/3/2010	7.054
12/4/2010	6.783
12/5/2010	6.821
12/6/2010	7.137
12/7/2010	7.158
12/8/2010	7.093
12/9/2010	7.165
12/10/2010	7.107
12/11/2010	6.708
12/12/2010	6.743
12/13/2010	7.139
12/14/2010	7.352
12/15/2010	7.256
12/16/2010	7.197
12/17/2010	6.920
12/18/2010	6.792
12/19/2010	6.798
12/20/2010	6.988
12/21/2010	6.972
12/22/2010	7.205
12/23/2010	6.863
12/24/2010	6.439
12/25/2010	6.317
12/26/2010	6.399
12/27/2010	6.673
12/28/2010	6.909
12/29/2010	6.942
12/30/2010	6.822
12/31/2010	6.492
1/1/2011	6.466
1/2/2011	6.620
1/3/2011	6.975
1/4/2011	7.041
1/5/2011	7.072
1/6/2011	7.035
1/7/2011	7.075
1/8/2011	6.739
1/9/2011	6.736
1/10/2011	7.142
1/11/2011	7.212
1/12/2011	7.236
1/13/2011	7.181
1/14/2011	7.189
1/15/2011	6.767
1/16/2011	6.770
1/17/2011	7.140
1/18/2011	7.344
1/19/2011	7.326
1/20/2011	7.314
1/21/2011	7.169
1/22/2011	6.935
1/23/2011	6.889
1/24/2011	7.228
1/25/2011	7.263
1/26/2011	7.298
1/27/2011	7.225
1/28/2011	7.261
1/29/2011	6.864
1/30/2011	6.986
1/31/2011	7.336
2/1/2011	7.272
2/2/2011	7.273
2/3/2011	7.385
2/4/2011	7.293
2/5/2011	6.798
2/6/2011	6.894
2/7/2011	7.257
2/8/2011	7.200
2/9/2011	7.270
2/10/2011	7.209
2/11/2011	7.200
2/12/2011	6.884
2/13/2011	6.795
2/14/2011	7.186
2/15/2011	7.227
2/16/2011	7.296
2/17/2011	7.272
2/18/2011	7.188
2/19/2011	6.817
2/20/2011	6.917
2/21/2011	7.276
2/22/2011	7.263
2/23/2011	7.169
2/24/2011	7.328
2/25/2011	7.146
2/26/2011	6.777
2/27/2011	6.907
2/28/2011	7.402
3/1/2011	7.395
3/2/2011	7.350
3/3/2011	7.265
3/4/2011	7.228
3/5/2011	6.869
3/6/2011	6.966
3/7/2011	7.272
3/8/2011	7.186
3/9/2011	7.402
3/10/2011	7.326
3/11/2011	7.192
3/12/2011	6.842
3/13/2011	6.913
3/14/2011	7.209
3/15/2011	7.235
3/16/2011	7.246
3/17/2011	7.175
3/18/2011	7.101
3/19/2011	6.819
3/20/2011	6.772
3/21/2011	7.213
3/22/2011	7.290
3/23/2011	7.340
3/24/2011	7.291
3/25/2011	7.112
3/26/2011	6.745
3/27/2011	6.733
3/28/2011	7.240
3/29/2011	7.232
3/30/2011	7.282
3/31/2011	7.359
4/1/2011	7.139
4/2/2011	6.713
4/3/2011	6.808
4/4/2011	7.209
4/5/2011	7.241
4/6/2011	7.347
4/7/2011	7.312
4/8/2011	7.225
4/9/2011	6.729
4/10/2011	6.886
4/11/2011	7.325
4/12/2011	7.325
4/13/2011	7.245
4/14/2011	7.338
4/15/2011	7.155
4/16/2011	6.838
4/17/2011	7.791
4/18/2011	7.445
4/19/2011	7.388
4/20/2011	7.359
4/21/2011	7.228
4/22/2011	7.018
4/23/2011	6.819
4/24/2011	6.780
4/25/2011	7.080
4/26/2011	7.223
4/27/2011	7.281
4/28/2011	7.251
4/29/2011	7.068
4/30/2011	6.781
5/1/2011	6.775
5/2/2011	7.157
5/3/2011	7.206
5/4/2011	7.187
5/5/2011	7.192
5/6/2011	7.104
5/7/2011	6.856
5/8/2011	6.828
5/9/2011	7.116
5/10/2011	7.227
5/11/2011	7.253
5/12/2011	7.221
5/13/2011	7.094
5/14/2011	6.654
5/15/2011	6.818
5/16/2011	7.172
5/17/2011	7.291
5/18/2011	7.294
5/19/2011	7.260
5/20/2011	7.163
5/21/2011	6.678
5/22/2011	6.752
5/23/2011	7.160
5/24/2011	7.193
5/25/2011	7.191
5/26/2011	7.203
5/27/2011	7.070
5/28/2011	6.667
5/29/2011	6.652
5/30/2011	6.943
5/31/2011	7.169
6/1/2011	7.177
6/2/2011	7.073
6/3/2011	7.062
6/4/2011	6.767
6/5/2011	6.707
6/6/2011	7.150
6/7/2011	7.144
6/8/2011	7.190
6/9/2011	7.120
6/10/2011	7.091
6/11/2011	6.672
6/12/2011	6.579
6/13/2011	7.071
6/14/2011	7.071
6/15/2011	7.296
6/16/2011	7.241
6/17/2011	7.170
6/18/2011	6.755
6/19/2011	6.874
6/20/2011	7.222
6/21/2011	7.323
6/22/2011	7.238
6/23/2011	7.217
6/24/2011	7.129
6/25/2011	6.777
6/26/2011	6.698
6/27/2011	7.133
6/28/2011	7.286
6/29/2011	7.215
6/30/2011	7.066
7/1/2011	7.087
7/2/2011	6.725
7/3/2011	6.585
7/4/2011	6.999
7/5/2011	7.130
7/6/2011	7.238
7/7/2011	7.215
7/8/2011	7.161
7/9/2011	6.648
7/10/2011	6.648
7/11/2011	7.104
7/12/2011	7.279
7/13/2011	7.155
7/14/2011	7.197
7/15/2011	7.001
7/16/2011	6.720
7/17/2011	6.750
7/18/2011	7.204
7/19/2011	7.265
7/20/2011	7.205
7/21/2011	7.122
7/22/2011	7.040
7/23/2011	6.654
7/24/2011	6.636
7/25/2011	7.153
7/26/2011	7.232
7/27/2011	7.232
7/28/2011	7.187
7/29/2011	7.087
7/30/2011	6.687
7/31/2011	6.697
8/1/2011	7.029
8/2/2011	7.199
8/3/2011	7.158
8/4/2011	7.193
8/5/2011	7.159
8/6/2011	6.789
8/7/2011	6.700
8/8/2011	7.107
8/9/2011	7.167
8/10/2011	7.186
8/11/2011	7.218
8/12/2011	7.021
